-3533, -1796, -877, 13713, 1629, 2061
-3608, -2113, -895, 17974, 941, 3283
-3660, -2393, -935, 19006, 259, 2769
-3613, -2735, -1088, 17913, -66, -6
-3522, -3083, -1363, 18047, 1936, -3036
-3477, -3324, -1609, 16100, 3995, -4962
-3530, -3537, -1705, 13595, 4705, -5808
-3590, -3865, -1818, 13079, 3506, -7070
-3573, -4203, -2085, 14901, 4338, -8732
-3590, -4412, -2412, 16835, 6422, -9497
-3719, -4495, -2722, 17114, 7546, -9796
-3813, -4620, -3058, 16879, 9620, -10506
-4023, -4689, -3323, 15727, 12875, -12546
-4356, -4643, -3463, 13044, 13589, -13884
-4652, -4667, -3476, 9892, 11371, -14885
-4853, -4773, -3458, 9724, 10799, -16209
-5020, -4921, -3450, 11115, 10813, -16615
-5168, -4973, -3365, 11707, 9902, -17408
-5250, -4872, -3180, 10764, 7847, -19471
-5277, -4705, -2940, 8253, 6040, -21279
-5201, -4495, -2582, 5917, 5163, -22722
-5125, -4256, -2164, 4923, 4884, -23715
-5020, -4008, -1735, 4119, 4284, -23796
-4916, -3813, -1274, 3185, 3169, -24451
-4807, -3626, -831, 2699, 1714, -24413
-4641, -3577, -472, 3527, 72, -22913
-4436, -3540, -185, 6699, -960, -20638
-4189, -3497, -22, 9697, -2748, -18331
-3782, -3515, -82, 12433, -5229, -16306
-3169, -3450, -318, 14882, -6032, -14606
-2383, -3145, -605, 16055, -5441, -13658
-1435, -2621, -879, 15383, -5628, -13968
-461, -1861, -1127, 13303, -5827, -15106
426, -973, -1389, 11128, -5204, -16223
1102, -13, -1541, 8441, -3122, -15187
1643, 855, -1513, 7126, -675, -11304
1978, 1717, -1307, 7636, 1993, -7724
2152, 2516, -1031, 7103, 2405, -4698
2263, 3176, -741, 5752, 2139, -1853
2356, 3557, -429, 3767, 1407, 296
2446, 3621, -91, 2237, 1036, 1955
2543, 3466, 247, 1170, 638, 2901
2643, 3215, 568, -748, -524, 2630
2769, 2749, 832, -1925, -1815, 2545
2929, 2184, 1013, -1157, -2446, 2911
3111, 1771, 1084, -447, -2864, 2752
3260, 1623, 1088, -1748, -3248, 1894
3314, 1428, 1068, -3782, -3429, 2102
3300, 1080, 1093, -3058, -2446, 4118
3240, 763, 1166, -397, -1995, 6100
3153, 622, 1227, 1268, -2954, 7417
3062, 638, 1240, 740, -4776, 7885
2942, 645, 1212, -922, -6473, 8046
2771, 549, 1188, -1449, -6943, 9097
2604, 366, 1104, -382, -7858, 10873
2468, 169, 969, 1078, -9391, 12608
2349, 13, 787, 2164, -10650, 13690
2193, -66, 624, 2514, -10692, 14730
1986, -178, 454, 2602, -10615, 16507
1793, -471, 179, 3170, -11985, 19332
1631, -931, -116, 5112, -12889, 22066
1511, -1325, -331, 8471, -11419, 23557
1325, -1566, -492, 11122, -8901, 24739
991, -1890, -735, 11532, -7294, 27756
622, -2208, -977, 8743, -7134, 30970
353, -2470, -1054, 5358, -6215, 29056
59, -2557, -1062, 3767, -5480, 23582
-374, -2573, -1141, 2136, -3864, 19925
-1056, -2656, -1255, -3362, -2991, 21380
-1629, -2822, -1286, -8964, -4736, 20700
-2057, -3081, -1281, -7907, -6494, 16811
-2474, -3310, -1268, -1350, -5826, 15709
-3040, -3307, -1217, 4891, -4068, 18469
